epoch,train_loss,train_mse,train_rmse,val_loss,val_mse,val_rmse
1,296.51123151387253,296.51123151387253,17.19953426992035,295.3865,295.3865,17.1765
2,279.2984675577242,279.2984675577242,16.698722237894415,279.8470,279.8470,16.7184
3,269.3070200044815,269.3070200044815,16.394720529186184,278.5197,278.5197,16.6792
4,260.4772790360124,260.4772790360124,16.121694248064284,259.7956,259.7956,16.1103
5,251.60854579977794,251.60854579977794,15.84795008811661,251.4009,251.4009,15.8470
6,243.08809254267445,243.08809254267445,15.576268431187042,251.1998,251.1998,15.8409
7,235.484375,235.484375,15.330227460973703,248.9871,248.9871,15.7707
8,228.03791370130565,228.03791370130565,15.083802495530136,242.5950,242.5950,15.5667
9,219.3720025885595,219.3720025885595,14.792364202041604,216.5923,216.5923,14.7088
10,212.1790179945018,212.1790179945018,14.550666785809206,206.3725,206.3725,14.3575
11,205.1909913363522,205.1909913363522,14.30664992883258,203.6703,203.6703,14.2637
12,197.34595102806614,197.34595102806614,14.027898080061513,211.7075,211.7075,14.5427
13,190.41224147848888,190.41224147848888,13.780035484145372,220.2811,220.2811,14.8310
14,182.9439642919253,182.9439642919253,13.503690425420652,175.0344,175.0344,13.2221
15,174.42004896190068,174.42004896190068,13.183567713792595,172.0383,172.0383,13.1076
16,167.23232237933433,167.23232237933433,12.911405348984461,176.4677,176.4677,13.2762
17,159.4628609435199,159.4628609435199,12.604806337672334,167.6944,167.6944,12.9413
18,151.49091872123822,151.49091872123822,12.286392764491545,160.5783,160.5783,12.6639
19,145.03412784942208,145.03412784942208,12.021767879479206,137.1457,137.1457,11.7030
20,138.5888832823871,138.5888832823871,11.746205534221636,138.5396,138.5396,11.7622
21,132.9245673401715,132.9245673401715,11.504087856816435,125.9033,125.9033,11.2131
22,127.02776472535852,127.02776472535852,11.251286748465791,123.5410,123.5410,11.1041
23,119.56769843950663,119.56769843950663,10.909559023840309,115.7184,115.7184,10.7470
24,113.65459755675434,113.65459755675434,10.640309271625272,121.7806,121.7806,11.0273
25,106.18247149741813,106.18247149741813,10.273769532747165,100.4426,100.4426,10.0142
26,99.99777482960322,99.99777482960322,9.967131050669705,100.1338,100.1338,9.9972
27,94.26034916916939,94.26034916916939,9.680835512525679,104.9665,104.9665,10.2370
28,89.61296342823603,89.61296342823603,9.445045098016843,81.1032,81.1032,8.9971
29,83.02228164672852,83.02228164672852,9.074557939762846,74.5305,74.5305,8.6264
30,77.38586990147421,77.38586990147421,8.762385449945775,61.0495,61.0495,7.8056
31,73.05290985107422,73.05290985107422,8.516907046998519,72.4749,72.4749,8.5067
32,69.8743015446075,69.8743015446075,8.323045255702738,39.6649,39.6649,6.2850
33,64.0752412978917,64.0752412978917,7.976385045549122,66.9469,66.9469,8.1692
34,60.61362859647568,60.61362859647568,7.751273591314256,57.7000,57.7000,7.5894
35,56.278277253451414,56.278277253451414,7.4696703378686395,57.1682,57.1682,7.5523
36,51.045267235742855,51.045267235742855,7.106219789522036,47.9606,47.9606,6.9200
37,47.19263176068868,47.19263176068868,6.837885454932136,46.3689,46.3689,6.8037
38,42.454796830268755,42.454796830268755,6.482761494079929,45.0419,45.0419,6.7002
39,42.21965938724884,42.21965938724884,6.453806338321791,29.2372,29.2372,5.3991
40,37.285492335280324,37.285492335280324,6.0559739391365595,40.3890,40.3890,6.3506
41,33.28062316162946,33.28062316162946,5.741205266000441,31.2754,31.2754,5.5875
42,30.694698647276997,30.694698647276997,5.49331991489398,37.9455,37.9455,6.1411
43,28.207424137690296,28.207424137690296,5.267652454517341,36.2087,36.2087,5.9949
44,25.121759623697358,25.121759623697358,4.9556437794655785,25.8903,25.8903,5.0731
45,22.094244865521993,22.094244865521993,4.654496517113288,17.6591,17.6591,4.1888
46,20.299281120300293,20.299281120300293,4.451632330196604,11.5569,11.5569,3.3707
47,20.69179335032424,20.69179335032424,4.497708354253923,20.3374,20.3374,4.4830
48,19.34150481550661,19.34150481550661,4.327729140709822,17.6641,17.6641,4.1157
49,19.23849408920497,19.23849408920497,4.312458085601319,15.0077,15.0077,3.8519
50,14.241953516659672,14.241953516659672,3.7244235997958155,13.8158,13.8158,3.6790
51,15.01648598501127,15.01648598501127,3.783870688383785,16.1131,16.1131,3.9623
52,12.209907335777805,12.209907335777805,3.4422682196171768,9.0262,9.0262,2.9851
53,11.723383008617244,11.723383008617244,3.3557034567492643,10.8607,10.8607,3.2363
54,9.92858818785785,9.92858818785785,3.1009918051986576,6.6422,6.6422,2.5534
55,12.182732177107301,12.182732177107301,3.3629270650011986,7.2619,7.2619,2.6765
56,10.14617256269063,10.14617256269063,3.066850679201427,10.4604,10.4604,3.2209
57,8.844626400568714,8.844626400568714,2.9118712692651507,7.2927,7.2927,2.6127
58,9.973210582994435,9.973210582994435,3.053151903476353,13.7996,13.7996,3.6544
59,7.7313642828431846,7.7313642828431846,2.722432793805527,5.0459,5.0459,2.2154
60,9.359853506088257,9.359853506088257,2.9154609499728195,5.9327,5.9327,2.3995
61,6.358746600477663,6.358746600477663,2.4689440847717474,3.9390,3.9390,1.9725
62,5.782459748934393,5.782459748934393,2.351970319242614,6.5215,6.5215,2.3925
63,7.100909592354134,7.100909592354134,2.524154039202356,3.7116,3.7116,1.8842
64,6.256843050865278,6.256843050865278,2.376002473134241,3.5390,3.5390,1.8587
65,5.254636748196328,5.254636748196328,2.216105750170914,3.7498,3.7498,1.9146
66,4.966045993648163,4.966045993648163,2.1381245789790406,3.5407,3.5407,1.8033
67,4.17970852982508,4.17970852982508,1.9724424531078015,4.7329,4.7329,2.1277
68,4.1417072341866685,4.1417072341866685,1.973912942787462,2.4292,2.4292,1.5519
69,3.3624770184085793,3.3624770184085793,1.8062520974404555,4.1358,4.1358,1.8801
70,5.737784114602494,5.737784114602494,2.243071975392983,6.8142,6.8142,2.5050
71,5.493925404875246,5.493925404875246,2.233627059279165,9.2473,9.2473,2.8081
72,4.40113035456775,4.40113035456775,2.00011062492181,2.0185,2.0185,1.4137
73,3.0579993839133275,3.0579993839133275,1.6983424029397869,2.2735,2.2735,1.4724
74,3.76963773328964,3.76963773328964,1.8420273441062922,3.5506,3.5506,1.8345
75,5.461023062875826,5.461023062875826,2.172819271824399,2.7341,2.7341,1.6105
76,3.1913929246876336,3.1913929246876336,1.7142688215249946,1.9683,1.9683,1.3989
77,2.711869128762859,2.711869128762859,1.5938957857092275,1.5716,1.5716,1.2246
78,2.339592244527111,2.339592244527111,1.5057668382222975,1.2958,1.2958,1.1354
79,2.5122618920182527,2.5122618920182527,1.537150571228153,1.6840,1.6840,1.2855
80,2.2171783430935585,2.2171783430935585,1.4667658687811707,1.6169,1.6169,1.2702
81,2.092790748975048,2.092790748975048,1.4288653088167171,1.7691,1.7691,1.3287
82,1.7873362596720865,1.7873362596720865,1.3254063438933334,1.1066,1.1066,1.0504
83,1.6806912928411406,1.6806912928411406,1.2757693974505162,1.0659,1.0659,1.0275
84,1.539064155866022,1.539064155866022,1.2260576477704865,0.9950,0.9950,0.9747
85,2.2174546522636938,2.2174546522636938,1.4137578988304107,1.1149,1.1149,1.0504
86,2.356717970273266,2.356717970273266,1.422559028886716,1.7148,1.7148,1.1952
87,3.4108950095633936,3.4108950095633936,1.6479575568348963,5.3372,5.3372,1.9459
88,6.469918185717439,6.469918185717439,2.3838959345953246,8.4255,8.4255,2.6185
89,8.650550022517166,8.650550022517166,2.7489090052386835,4.2397,4.2397,1.8822
90,4.398264235013152,4.398264235013152,1.9411582289738858,1.7937,1.7937,1.3224
91,2.045113800323173,2.045113800323173,1.390758862061468,2.6426,2.6426,1.3137
92,5.045678475131727,5.045678475131727,2.071604957170608,11.7298,11.7298,2.8653
93,3.6962476544184226,3.6962476544184226,1.6761314312845652,5.2822,5.2822,1.9276
94,6.32236490347614,6.32236490347614,2.1778812611801337,6.8140,6.8140,2.3279
95,8.568422036628201,8.568422036628201,2.662148770955189,4.8022,4.8022,1.9886
96,4.9149083356334735,4.9149083356334735,2.0243682212567142,3.1140,3.1140,1.5891
97,2.8027023762872774,2.8027023762872774,1.5648790513565092,1.1300,1.1300,1.0579
98,1.5070616651887763,1.5070616651887763,1.2099094855476369,0.9076,0.9076,0.9497
99,1.269040534757588,1.269040534757588,1.11630230275271,0.7034,0.7034,0.8367
100,1.243726612770394,1.243726612770394,1.1037562988174243,0.7691,0.7691,0.8742
101,1.1860583008152166,1.1860583008152166,1.0771818973106975,0.7539,0.7539,0.8666
102,1.0718163545817545,1.0718163545817545,1.0269894495818581,0.6714,0.6714,0.8182
103,1.1556624721174371,1.1556624721174371,1.0559278958558351,0.6522,0.6522,0.8065
104,0.9853563904762268,0.9853563904762268,0.9836490124613533,0.6808,0.6808,0.8242
105,1.0187481331498656,1.0187481331498656,0.9998292959663406,0.5207,0.5207,0.7205
106,0.9801630712535283,0.9801630712535283,0.9781415183671096,0.6156,0.6156,0.7811
107,0.9078689421692939,0.9078689421692939,0.9454245987564336,0.5361,0.5361,0.7301
108,0.7993159726874469,0.7993159726874469,0.889511510241327,0.4980,0.4980,0.7041
109,0.8609344306057447,0.8609344306057447,0.9156520936587738,0.5065,0.5065,0.7096
110,0.9362036977728753,0.9362036977728753,0.9527092594919028,0.5117,0.5117,0.7143
111,0.8638349061142908,0.8638349061142908,0.9214076338387831,0.4591,0.4591,0.6765
112,0.7600807710869671,0.7600807710869671,0.8654187021808354,0.4393,0.4393,0.6616
113,0.8353575786499128,0.8353575786499128,0.9027835908017359,0.4373,0.4373,0.6598
114,0.8294961403494012,0.8294961403494012,0.8965936593472047,0.4036,0.4036,0.6344
115,0.7431841419167715,0.7431841419167715,0.8511634910341725,0.4330,0.4330,0.6571
116,0.6747060863122548,0.6747060863122548,0.8149047389732861,0.3791,0.3791,0.6148
117,0.6910428674253699,0.6910428674253699,0.8227080399446064,0.4008,0.4008,0.6321
118,0.7553406370012727,0.7553406370012727,0.8610302986535905,0.3632,0.3632,0.6019
119,0.6292936634527494,0.6292936634527494,0.7893901260569566,0.4909,0.4909,0.7001
120,0.6631809399552542,0.6631809399552542,0.8082400874890605,0.4326,0.4326,0.6567
121,0.6763594575124244,0.6763594575124244,0.8146224523495675,0.3713,0.3713,0.6082
122,0.6602949316370977,0.6602949316370977,0.8023734605017003,0.3814,0.3814,0.6157
123,0.6442978582153581,0.6442978582153581,0.7906742828594964,0.3968,0.3968,0.6294
124,0.6163028086701484,0.6163028086701484,0.7762373935738254,0.3549,0.3549,0.5949
125,0.5940917073047325,0.5940917073047325,0.7648709368278335,0.3131,0.3131,0.5587
126,0.5859793841022335,0.5859793841022335,0.7570490035859201,0.2999,0.2999,0.5469
127,0.5528246646058069,0.5528246646058069,0.7385320635541152,0.2932,0.2932,0.5401
128,0.5700387713843829,0.5700387713843829,0.7478643446945261,0.3165,0.3165,0.5609
129,0.5912827690170236,0.5912827690170236,0.7592405416422556,0.5018,0.5018,0.7006
130,0.5741176699122338,0.5741176699122338,0.7499552167327403,0.5248,0.5248,0.7217
131,0.5444507562134364,0.5444507562134364,0.7290011477069582,0.3461,0.3461,0.5838
132,0.5481463474770115,0.5481463474770115,0.7338536429418356,0.2639,0.2639,0.5129
133,0.5047318580215925,0.5047318580215925,0.7038175606465995,0.3257,0.3257,0.5663
134,0.4548570101391779,0.4548570101391779,0.6695134687249652,0.2578,0.2578,0.5071
135,0.49793106195044845,0.49793106195044845,0.6966563955330843,0.3054,0.3054,0.5522
136,0.505505233594816,0.505505233594816,0.7031912646466555,0.2684,0.2684,0.5175
137,0.4901052529681219,0.4901052529681219,0.6947063108984842,0.2572,0.2572,0.5060
138,0.4488233397268269,0.4488233397268269,0.6636607819558878,0.2249,0.2249,0.4735
139,0.4131714738395116,0.4131714738395116,0.6381623071865101,0.3301,0.3301,0.5730
140,0.41810885418767796,0.41810885418767796,0.641140755093892,0.2407,0.2407,0.4900
141,0.5812200842654869,0.5812200842654869,0.7495956333300909,0.6326,0.6326,0.7947
142,0.43392179355229415,0.43392179355229415,0.6514691927786692,0.2465,0.2465,0.4954
143,0.5120435512229188,0.5120435512229188,0.7011906523852842,0.2696,0.2696,0.5167
144,0.40224960568833024,0.40224960568833024,0.6286266156451662,0.2692,0.2692,0.5164
145,0.4079201486829209,0.4079201486829209,0.6310848674131745,0.2418,0.2418,0.4910
146,0.4220971305892892,0.4220971305892892,0.6407220532788126,0.2198,0.2198,0.4682
147,0.44720928473015353,0.44720928473015353,0.6629250162573592,0.2523,0.2523,0.5020
148,0.43548335441171304,0.43548335441171304,0.6515128983739655,0.2429,0.2429,0.4923
149,0.4172425684455323,0.4172425684455323,0.6396297899715001,0.2245,0.2245,0.4729
150,0.40622673214298405,0.40622673214298405,0.6301074741475985,0.2830,0.2830,0.5297
151,0.4199029476675269,0.4199029476675269,0.6399149878421811,0.1963,0.1963,0.4414
152,0.40106824367013694,0.40106824367013694,0.6228919763089491,0.2054,0.2054,0.4524
153,0.35489739926710523,0.35489739926710523,0.5902602727778559,0.1865,0.1865,0.4295
154,0.39998115272554635,0.39998115272554635,0.6233092147712329,0.3086,0.3086,0.5547
155,0.36730000437939003,0.36730000437939003,0.6000995635000775,0.2012,0.2012,0.4481
156,0.3607029853618308,0.3607029853618308,0.5913697636800687,0.2137,0.2137,0.4620
157,0.35153403919037074,0.35153403919037074,0.5866928642946767,0.2105,0.2105,0.4583
158,0.3259498499435921,0.3259498499435921,0.5637013808522068,0.2348,0.2348,0.4840
159,0.32488285454168714,0.32488285454168714,0.5645479256375426,0.1580,0.1580,0.3972
160,0.35378788248316884,0.35378788248316884,0.5875395643588202,0.1770,0.1770,0.4203
161,0.3400883790973115,0.3400883790973115,0.5743454566171275,0.1969,0.1969,0.4416
162,0.37536069485422685,0.37536069485422685,0.6041302290583807,0.2239,0.2239,0.4683
163,0.34881714170109734,0.34881714170109734,0.5802409632443072,0.2223,0.2223,0.4713
164,0.32222586237404444,0.32222586237404444,0.5608333055972918,0.1911,0.1911,0.4368
165,0.3103070553034952,0.3103070553034952,0.5500273598232769,0.2066,0.2066,0.4539
166,0.36205206158226483,0.36205206158226483,0.5923848257308459,0.2263,0.2263,0.4747
167,0.27908304149973884,0.27908304149973884,0.5221904923152529,0.1705,0.1705,0.4119
168,0.34322835566246346,0.34322835566246346,0.5783602714677086,0.2145,0.2145,0.4623
169,0.3484515266059196,0.3484515266059196,0.5797883858477945,0.2121,0.2121,0.4593
170,0.30631721366758213,0.30631721366758213,0.5441870404807906,0.1639,0.1639,0.4043
171,0.3367246250583701,0.3367246250583701,0.5714621429481138,0.3490,0.3490,0.5895
172,0.3109002146002364,0.3109002146002364,0.5502060219945974,0.1676,0.1676,0.4086
173,0.27737009953962616,0.27737009953962616,0.5186041366682003,0.1829,0.1829,0.4255
174,0.288953912993,0.288953912993,0.5331090862652195,0.1435,0.1435,0.3785
175,0.28345826227371007,0.28345826227371007,0.5249313202391387,0.2245,0.2245,0.4734
176,0.2730742925650453,0.2730742925650453,0.5172431531433667,0.2139,0.2139,0.4616
177,0.25815841596420497,0.25815841596420497,0.5006821682290625,0.1939,0.1939,0.4395
178,0.2707808640313475,0.2707808640313475,0.5146918899602819,0.1691,0.1691,0.4110
179,0.29509864686286613,0.29509864686286613,0.5357394920443191,0.1377,0.1377,0.3703
180,0.2495325754766595,0.2495325754766595,0.493690638703956,0.1740,0.1740,0.4166
181,0.28683263390031577,0.28683263390031577,0.5301276172868334,0.1459,0.1459,0.3811
182,0.3051271661095423,0.3051271661095423,0.5448565519896805,0.2361,0.2361,0.4852
183,0.3066558874633214,0.3066558874633214,0.5467778714348197,0.1867,0.1867,0.4316
184,0.3087958471007543,0.3087958471007543,0.5470766628958714,0.2108,0.2108,0.4582
185,10.360299561121693,10.360299561121693,2.5324613013125536,29.1204,29.1204,5.2875
186,15.995344387341852,15.995344387341852,3.7334061819308584,11.4487,11.4487,3.1735
187,5.1761769611541535,5.1761769611541535,2.0173614047415853,1.0322,1.0322,0.9993
